LeetCode No,Problem Title,Level,Tags,Acceptance,URL
1, Two Sum,Easy,ArrayHash Table,48.7,https://leetcode.com/problems/two-sum
9, Palindrome Number,Easy,Math,52.5,https://leetcode.com/problems/palindrome-number
13, Roman to Integer,Easy,Hash TableMathString,57.9,https://leetcode.com/problems/roman-to-integer
14, Longest Common Prefix,Easy,String,39.7,https://leetcode.com/problems/longest-common-prefix
20, Valid Parentheses,Easy,StringStack,40.9,https://leetcode.com/problems/valid-parentheses
21, Merge Two Sorted Lists,Easy,Linked ListRecursion,60.6,https://leetcode.com/problems/merge-two-sorted-lists
26, Remove Duplicates from Sorted Array,Easy,ArrayTwo Pointers,49.2,https://leetcode.com/problems/remove-duplicates-from-sorted-array
27, Remove Element,Easy,ArrayTwo Pointers,51.4,https://leetcode.com/problems/remove-element
35, Search Insert Position,Easy,ArrayBinary Search,42.3,https://leetcode.com/problems/search-insert-position
58, Length of Last Word,Easy,String,38.2,https://leetcode.com/problems/length-of-last-word
66, Plus One,Easy,ArrayMath,43,https://leetcode.com/problems/plus-one
67, Add Binary,Easy,MathStringBit Manipulation1+,50.7,https://leetcode.com/problems/add-binary
69, Sqrt(x),Easy,MathBinary Search,36.6,https://leetcode.com/problems/sqrtx
70, Climbing Stairs,Easy,MathDynamic ProgrammingMemoization,51.2,https://leetcode.com/problems/climbing-stairs
83, Remove Duplicates from Sorted List,Easy,Linked List,49.2,https://leetcode.com/problems/remove-duplicates-from-sorted-list
88, Merge Sorted Array,Easy,ArrayTwo PointersSorting,44.8,https://leetcode.com/problems/merge-sorted-array
94, Binary Tree Inorder Traversal,Easy,StackTreeDepth-First Search1+,71.1,https://leetcode.com/problems/binary-tree-inorder-traversal
100, Same Tree,Easy,TreeDepth-First Search2+,55.7,https://leetcode.com/problems/same-tree
101, Symmetric Tree,Easy,TreeDepth-First Search2+,51.8,https://leetcode.com/problems/symmetric-tree
104, Maximum Depth of Binary Tree,Easy,TreeDepth-First Search2+,72.1,https://leetcode.com/problems/maximum-depth-of-binary-tree
108, Convert Sorted Array to Binary Search Tree,Easy,ArrayDivide and ConquerTree2+,66.4,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
110, Balanced Binary Tree,Easy,TreeDepth-First SearchBinary Tree,47,https://leetcode.com/problems/balanced-binary-tree
111, Minimum Depth of Binary Tree,Easy,TreeDepth-First Search2+,42.7,https://leetcode.com/problems/minimum-depth-of-binary-tree
112, Path Sum,Easy,TreeDepth-First Search2+,45.8,https://leetcode.com/problems/path-sum
118, Pascal's Triangle,Easy,ArrayDynamic Programming,65.3,https://leetcode.com/problems/pascals-triangle
119, Pascal's Triangle II,Easy,ArrayDynamic Programming,58,https://leetcode.com/problems/pascals-triangle-ii
121, Best Time to Buy and Sell Stock,Easy,ArrayDynamic Programming,54.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
125, Valid Palindrome,Easy,Two PointersString,42.1,https://leetcode.com/problems/valid-palindrome
136, Single Number,Easy,ArrayBit Manipulation,69.5,https://leetcode.com/problems/single-number
141, Linked List Cycle,Easy,Hash TableLinked ListTwo Pointers,46.1,https://leetcode.com/problems/linked-list-cycle
144, Binary Tree Preorder Traversal,Easy,StackTreeDepth-First Search1+,62.9,https://leetcode.com/problems/binary-tree-preorder-traversal
145, Binary Tree Postorder Traversal,Easy,StackTreeDepth-First Search1+,64.6,https://leetcode.com/problems/binary-tree-postorder-traversal
157, Read N Characters Given Read4,Easy,StringSimulationInteractive,40.4,https://leetcode.com/problems/read-n-characters-given-read4
160, Intersection of Two Linked Lists,Easy,Hash TableLinked ListTwo Pointers,51.5,https://leetcode.com/problems/intersection-of-two-linked-lists
168, Excel Sheet Column Title,Easy,MathString,34.1,https://leetcode.com/problems/excel-sheet-column-title
169, Majority Element,Easy,ArrayHash TableDivide and Conquer2+,63.1,https://leetcode.com/problems/majority-element
190, Reverse Bits,Easy,Divide and ConquerBit Manipulation,49.6,https://leetcode.com/problems/reverse-bits
191, Number of 1 Bits,Easy,Bit Manipulation,62.3,https://leetcode.com/problems/number-of-1-bits
202, Happy Number,Easy,Hash TableMathTwo Pointers,53.5,https://leetcode.com/problems/happy-number
203, Remove Linked List Elements,Easy,Linked ListRecursion,43.8,https://leetcode.com/problems/remove-linked-list-elements
205, Isomorphic Strings,Easy,Hash TableString,42.2,https://leetcode.com/problems/isomorphic-strings
206, Reverse Linked List,Easy,Linked ListRecursion,70.7,https://leetcode.com/problems/reverse-linked-list
217, Contains Duplicate,Easy,ArrayHash TableSorting,61,https://leetcode.com/problems/contains-duplicate
219, Contains Duplicate II,Easy,ArrayHash TableSliding Window,40.7,https://leetcode.com/problems/contains-duplicate-ii
222, Count Complete Tree Nodes,Easy,Binary SearchTreeDepth-First Search1+,55.7,https://leetcode.com/problems/count-complete-tree-nodes
226, Invert Binary Tree,Easy,TreeDepth-First Search2+,71.9,https://leetcode.com/problems/invert-binary-tree
228, Summary Ranges,Easy,Array,46.4,https://leetcode.com/problems/summary-ranges
231, Power of Two,Easy,MathBit ManipulationRecursion,45.1,https://leetcode.com/problems/power-of-two
234, Palindrome Linked List,Easy,Linked ListTwo PointersStack1+,47,https://leetcode.com/problems/palindrome-linked-list
242, Valid Anagram,Easy,Hash TableStringSorting,61.6,https://leetcode.com/problems/valid-anagram
252, Meeting Rooms,Easy,ArraySorting,56.8,https://leetcode.com/problems/meeting-rooms
257, Binary Tree Paths,Easy,StringBacktrackingTree2+,59,https://leetcode.com/problems/binary-tree-paths
268, Missing Number,Easy,ArrayHash TableMath2+,60.5,https://leetcode.com/problems/missing-number
278, First Bad Version,Easy,Binary SearchInteractive,42,https://leetcode.com/problems/first-bad-version
283, Move Zeroes,Easy,ArrayTwo Pointers,60.8,https://leetcode.com/problems/move-zeroes
292, Nim Game,Easy,MathBrainteaserGame Theory,55.6,https://leetcode.com/problems/nim-game
303, Range Sum Query - Immutable,Easy,ArrayDesignPrefix Sum,56.1,https://leetcode.com/problems/range-sum-query-immutable
326, Power of Three,Easy,MathRecursion,43.6,https://leetcode.com/problems/power-of-three
338, Counting Bits,Easy,Dynamic ProgrammingBit Manipulation,74.5,https://leetcode.com/problems/counting-bits
344, Reverse String,Easy,Two PointersStringRecursion,75.1,https://leetcode.com/problems/reverse-string
345, Reverse Vowels of a String,Easy,Two PointersString,47.1,https://leetcode.com/problems/reverse-vowels-of-a-string
349, Intersection of Two Arrays,Easy,ArrayHash TableTwo Pointers2+,69.3,https://leetcode.com/problems/intersection-of-two-arrays
350, Intersection of Two Arrays II,Easy,ArrayHash TableTwo Pointers2+,55.1,https://leetcode.com/problems/intersection-of-two-arrays-ii
374, Guess Number Higher or Lower,Easy,Binary SearchInteractive,49.5,https://leetcode.com/problems/guess-number-higher-or-lower
383, Ransom Note,Easy,Hash TableStringCounting,56,https://leetcode.com/problems/ransom-note
389, Find the Difference,Easy,Hash TableStringBit Manipulation1+,60.5,https://leetcode.com/problems/find-the-difference
392, Is Subsequence,Easy,Two PointersStringDynamic Programming,51,https://leetcode.com/problems/is-subsequence
441, Arranging Coins,Easy,MathBinary Search,45.6,https://leetcode.com/problems/arranging-coins
448, Find All Numbers Disappeared in an Array,Easy,ArrayHash Table,59.2,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array
459, Repeated Substring Pattern,Easy,StringString Matching,43.6,https://leetcode.com/problems/repeated-substring-pattern
463, Island Perimeter,Easy,ArrayDepth-First Search2+,69.1,https://leetcode.com/problems/island-perimeter
476, Number Complement,Easy,Bit Manipulation,66.8,https://leetcode.com/problems/number-complement
482, License Key Formatting,Easy,String,43.1,https://leetcode.com/problems/license-key-formatting
496, Next Greater Element I,Easy,ArrayHash TableStack1+,70.4,https://leetcode.com/problems/next-greater-element-i
506, Relative Ranks,Easy,ArraySortingHeap (Priority Queue),57.2,https://leetcode.com/problems/relative-ranks
509, Fibonacci Number,Easy,MathDynamic ProgrammingRecursion1+,68.3,https://leetcode.com/problems/fibonacci-number
530, Minimum Absolute Difference in BST,Easy,TreeDepth-First Search3+,56.3,https://leetcode.com/problems/minimum-absolute-difference-in-bst
543, Diameter of Binary Tree,Easy,TreeDepth-First SearchBinary Tree,54.6,https://leetcode.com/problems/diameter-of-binary-tree
572, Subtree of Another Tree,Easy,TreeDepth-First SearchString Matching2+,45.5,https://leetcode.com/problems/subtree-of-another-tree
589, N-ary Tree Preorder Traversal,Easy,StackTreeDepth-First Search,76.2,https://leetcode.com/problems/n-ary-tree-preorder-traversal
605, Can Place Flowers,Easy,ArrayGreedy,33.1,https://leetcode.com/problems/can-place-flowers
617, Merge Two Binary Trees,Easy,TreeDepth-First Search2+,78,https://leetcode.com/problems/merge-two-binary-trees
637, Average of Levels in Binary Tree,Easy,TreeDepth-First Search2+,68.9,https://leetcode.com/problems/average-of-levels-in-binary-tree
643, Maximum Average Subarray I,Easy,ArraySliding Window,43.6,https://leetcode.com/problems/maximum-average-subarray-i
700, Search in a Binary Search Tree,Easy,TreeBinary Search TreeBinary Tree,76.5,https://leetcode.com/problems/search-in-a-binary-search-tree
704, Binary Search,Easy,ArrayBinary Search,55.2,https://leetcode.com/problems/binary-search
724, Find Pivot Index,Easy,ArrayPrefix Sum,51.9,https://leetcode.com/problems/find-pivot-index
733, Flood Fill,Easy,ArrayDepth-First Search2+,58.4,https://leetcode.com/problems/flood-fill
744, Find Smallest Letter Greater Than Target,Easy,ArrayBinary Search,45,https://leetcode.com/problems/find-smallest-letter-greater-than-target
746, Min Cost Climbing Stairs,Easy,ArrayDynamic Programming,59.2,https://leetcode.com/problems/min-cost-climbing-stairs
844, Backspace String Compare,Easy,Two PointersStringStack1+,48,https://leetcode.com/problems/backspace-string-compare
860, Lemonade Change,Easy,ArrayGreedy,52.6,https://leetcode.com/problems/lemonade-change
876, Middle of the Linked List,Easy,Linked ListTwo Pointers,72.8,https://leetcode.com/problems/middle-of-the-linked-list
884, Uncommon Words from Two Sentences,Easy,Hash TableString,65.7,https://leetcode.com/problems/uncommon-words-from-two-sentences
896, Monotonic Array,Easy,Array,58.4,https://leetcode.com/problems/monotonic-array
908, Smallest Range I,Easy,ArrayMath,67.4,https://leetcode.com/problems/smallest-range-i
942, DI String Match,Easy,ArrayMathTwo Pointers2+,76,https://leetcode.com/problems/di-string-match
977, Squares of a Sorted Array,Easy,ArrayTwo PointersSorting,71.7,https://leetcode.com/problems/squares-of-a-sorted-array
997, Find the Town Judge,Easy,ArrayHash TableGraph,49.7,https://leetcode.com/problems/find-the-town-judge
1021, Remove Outermost Parentheses,Easy,StringStack,79.9,https://leetcode.com/problems/remove-outermost-parentheses
1022, Sum of Root To Leaf Binary Numbers,Easy,TreeDepth-First SearchBinary Tree,73.8,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers
1025, Divisor Game,Easy,MathDynamic ProgrammingBrainteaser1+,66.7,https://leetcode.com/problems/divisor-game
1056, Confusing Number,Easy,Math,46,https://leetcode.com/problems/confusing-number
1065, Index Pairs of a String,Easy,ArrayStringTrie1+,62.5,https://leetcode.com/problems/index-pairs-of-a-string
1089, Duplicate Zeros,Easy,ArrayTwo Pointers,51.2,https://leetcode.com/problems/duplicate-zeros
1134, Armstrong Number,Easy,Math,78.3,https://leetcode.com/problems/armstrong-number
1137, N-th Tribonacci Number,Easy,MathDynamic ProgrammingMemoization,63.1,https://leetcode.com/problems/n-th-tribonacci-number
1150, Check If a Number Is Majority Element in a Sorted Array,Easy,ArrayBinary Search,56.7,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array
1176, Diet Plan Performance,Easy,ArraySliding Window,52.5,https://leetcode.com/problems/diet-plan-performance
1207, Unique Number of Occurrences,Easy,ArrayHash Table,71.9,https://leetcode.com/problems/unique-number-of-occurrences
1290, Convert Binary Number in a Linked List to Integer,Easy,Linked ListMath,82.6,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1351, Count Negative Numbers in a Sorted Matrix,Easy,ArrayBinary SearchMatrix,75.1,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix
1379, Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Easy,TreeDepth-First Search2+,87.4,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree
1426, Counting Elements,Easy,ArrayHash Table,59.5,https://leetcode.com/problems/counting-elements
1431, Kids With the Greatest Number of Candies,Easy,Array,87.7,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies
1475, Final Prices With a Special Discount in a Shop,Easy,ArrayStackMonotonic Stack,75.2,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop
1480, Running Sum of 1d Array,Easy,ArrayPrefix Sum,90.4,https://leetcode.com/problems/running-sum-of-1d-array
1502, Can Make Arithmetic Progression From Sequence,Easy,ArraySorting,69.4,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence
1539, Kth Missing Positive Number,Easy,ArrayBinary Search,55.6,https://leetcode.com/problems/kth-missing-positive-number
1603, Design Parking System,Easy,DesignSimulationCounting,87.7,https://leetcode.com/problems/design-parking-system
1672, Richest Customer Wealth,Easy,ArrayMatrix,89.1,https://leetcode.com/problems/richest-customer-wealth
1684, Count the Number of Consistent Strings,Easy,ArrayHash TableString1+,81.9,https://leetcode.com/problems/count-the-number-of-consistent-strings
1732, Find the Highest Altitude,Easy,ArrayPrefix Sum,78.9,https://leetcode.com/problems/find-the-highest-altitude
1748, Sum of Unique Elements,Easy,ArrayHash TableCounting,75.6,https://leetcode.com/problems/sum-of-unique-elements
1768, Merge Strings Alternately,Easy,Two PointersString,75.8,https://leetcode.com/problems/merge-strings-alternately
1822, Sign of the Product of an Array,Easy,ArrayMath,67.1,https://leetcode.com/problems/sign-of-the-product-of-an-array
1945, Sum of Digits of String After Convert,Easy,StringSimulation,61.3,https://leetcode.com/problems/sum-of-digits-of-string-after-convert
2022, Convert 1D Array Into 2D Array,Easy,ArrayMatrixSimulation,58.8,https://leetcode.com/problems/convert-1d-array-into-2d-array
2148, Count Elements With Strictly Smaller and Greater Elements,Easy,ArraySorting,60.3,https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements
2215, Find the Difference of Two Arrays,Easy,ArrayHash Table,69.3,https://leetcode.com/problems/find-the-difference-of-two-arrays
2220, Minimum Bit Flips to Convert Number,Easy,Bit Manipulation,81.6,https://leetcode.com/problems/minimum-bit-flips-to-convert-number
3001,Find the Index of the First Occurrence in a String,Easy,DONTKNOW,1,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string
3002,Evaluate Boolean Binary Tree,Easy,DONTKNOW,1,https://leetcode.com/problems/evaluate-boolean-binary-tree
3003,Largest Local Values in a Matrix,Easy,DONTKNOW,1,https://leetcode.com/problems/largest-local-values-in-a-matrix
3004,Special Array I,Easy,DONTKNOW,1,https://leetcode.com/problems/special-array-i
3005,Find the Winning Player in Coin Game,Easy,DONTKNOW,1,https://leetcode.com/problems/find-the-winning-player-in-coin-game
